Fthicket of,,This page is for brainstorming abilities. All you need here is a name for the abilitiy and a description of what its function is.,,This column is for developing the actual game text of an ability,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Ability Name,Ability Description,Rules Text,CP cost,Affinity req,W,U,B,R,G,tot,,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,,NEW AFFINITY,New Aff: X,New Aff: Di,New Aff: Kyle,New Aff: Gabe
0,Aura,Never surrender,grants diehard to allies,Allies do not fall unconscious when a damage track is filled. They still die from overflow.,10,"6W,6R,(15)",8,0,0,8,0,8,,10,,,,,,,,,,,"12WR,3",R5 exclusive,"R2
exclusive
WR",,
0,Aura,No Retreat!,Your inspiration prevents enemies from being able to withdraw safely,"Enemies within your zone of control provoke attacks of opportunity from you when using any form of movement even if they would not normally provoke.  At rank 2 all enemies within CHA*5 always provoke attacks of opportunity (from threatening allies) when moving through an allies zone of control. All forms of movement, including instant teleportation, provoke. Allies must also be within this aura to gain these benefits.",10,"4W,5(W|B),(12)
7W,9(W|B),(21)",6,,6,,,6,,10,20,,,,,,,,,,"7WB,2
14WB,4",R4/R7 excl,"R3/R6/R9
limited
WB",,
0,Aura,Rallying Spirit,"Your combat prowess brings inspiration to your allies, their morale confers healing",When you make a successful melee attack you may heal an ally within CHA*5 ft RANK*4 meat or RANK*8 stam health. (This healing is subject to normal healing rules.),10,"6W,(12)
9W,(18)
12W,(24)
18W,(30)",8,,,,,8,,10,20,30,40,,,,,,,,"6W,6
9W,9
12W,12",R4/6/8 Limited,"R3/R6/R9
limited
W",,
0,Aura,Rally Morale,"Your allies may use your willpower in place of their own, or their willpower + RANK (whichever is higher) when resisting most effects. This does not apply to drain checks.","Your allies may use your willpower in place of their own, or their willpower + RANK (whichever is higher) when resisting most effects. This does not apply to drain checks.",10,"6W,6(W|U|G),(15)",6,0,0,0,0,6,,10,20,30,,,,,,,,,"9W,3",R5 exclusive?,"WU,WG",,
0,Aura,Rallying Aura,"bonus vs. fear and charm, bonus on combat","Resist fear, resist charm, combat; +1 die per rank
","15
30
45","3W,4(W|R),(9)
7W,7(W|R),(18)
10W,11(W|R),(27)",3,0,0,3,0,6,,15,45,90,,,,,,,,,"7W,2
14W,4
21W,6","R3/R6/R9
exclusive",W,,
0,Aura,Repositioning Aura,When you hit with an attack you may designate an ally within your aura to take a move action.,When you hit with an attack you may designate an ally within your aura to move up to their movement rate.,20,"3W,(15)",,,,,,,,20,,,,,,,,,,,,,,,
0,Aura,Shielding Aura,"When you make a parry, all allies within the aura gain 1 temp hp","When you succesfully parry block or parry, all allies except you within the aura gain 2 temp hp",40,"7W,(21)",,,,,,,,40,,,,,,,,,,,,,,,
0,Aura,Skill Teamwork,"Boost allies' skills for skills you have high ranks in
","Rank 1: up to 2
Rank 2: up to 4
Rank 3: up to 6
Rank 4: up to 8","20,40,60,80","1W,1G,1(W|G),(6) per
",4,4,0,0,4,4,,20,60,120,200,,,,,,,,"W,U,G,3
2W,2U,2G,6
3W,3U,3G,9
4W,4U,4G,12","R2/R4/R6/R8
limited",WG,,
0,Aura,Slow Aura,increase initiative cost of enemy actions,Enemy's actions cost 1+(RANK) more initiative so long as they are within (5*CHA feet) of you. If another effect would inflict a penalty on the initiative cost of actions only the highest penalty applies.,"10
15
20","3U,4(W|U),(9)
7U,7(W|U),(18)
10U,11(W|U),(27)",6,6,6,0,0,6,,10,25,45,,,,,,,,,"3W,3U,3
7W,7U,4
10W,10U,7","R3/R6/R9
exclusive","U,WU",,
0,Aura,Warleader,Allies can attack right after you with a bonus.,"The first time you attack each turn all allies within range may take their turn immediately after yours. An ally who chooses to do so may only move or make attacks during that turn. Allies who make use of this ability gain a stacking, refreshing +1 dice to all attack, block, parry rolls until the end of their next turn. The maximum benefit of this bonus is your CHA.",50,"9W,9R,(24)",,,,,,,,50,,,,,,,,,,,,,,,
0,Buff,All outta Bubblegum,"various grapple, melee roughness bonuses","Body Buff

RANK-1 damage dampening
ignore RANK points of wound penalty
+RANK vs. knockdown, disarm, trip, resisting grapple

Melee attacks trigger knockdown on hit. Target physical soak vs. the base DV of the attack.
Enemies that fail to escape your grapples take damage as if you made the grapple attack action against them
Ignore half an enemy's armor with your grapple attacks

",20/30/40,"4(R|G),(9)
9(R|G),(18)
13(R|G),(27)",,,,3,3,6,,20,50,90,,,,,,,,,"4RG,5
9RG,9
13RG,14",R3/R6/R9 limited,G,,
0,Buff,Arcane Conduit,Casting spells ,"Body Buff
Casting a spell generates a mana charge.
Charges may be expended as follows
2-Spent in place of init costs on a spell modifier (per 5)
2-Spent in place of init costs on counterspelling/redirecting (per 5)
2-Spent to mitigate a counterspell/redirect attempt against one of your spells (-3 dice to opposed attempt per)

Max charges = 2*RANK 

These charges decay after one minute of not generating nor using charges. If you would overflow your limit on charges take drain equal to the overflow amount. You shed sparking magical light (as a torch) while you have at least 2 charges.

At Rank 2: Centering generates 1 charge, every point of drain you take from spellcasting generates 1 charge.

At Rank 3: All charge generation is increased by +1
",30/40/80,"4U,4R,(18)
6U,6R,(24)
8U,8R,(30)",,7,,7,,14,,30,70,150,,,,,,,,,"9UR,9
12UR,12
15UR,15",R6/R8/R10 limited,U,,
0,Buff,Avatar of Malice,"Empower attacks, lifesteal, ignore full defense","Body buff. 
All damage you deal is applied as Dark damage post mitigation. 
You ignore enemies’ full defense. 
Whenever your melee attack deals damage to one or more targets, heal 1. This healing is exempt from healing drain.
Weakness 3 to radiant. 
You treat all incoming dark damage and dark damage you suffer as normal damage. 
After damage is calculated against you, you may move up to 2 points of it to the delayed track. At the end of the round you suffer all the delayed damage as physical damage. ",100,"24B,(30)
",,,20,,,20,,100,,,,,,,,,,,"24B,6",??,B,,
0,Buff,Bastion,"Defensive bonuses, reduced offensive power",half Action. Increase damage dampening by RANK*2. Reduce the starting power of your attacks by RANK*2.,15/20/25,"per: 2W,(9)",6,0,0,0,0,6,,15,35,60,,,,,,,,,"2W,7
4W,14
6W,21",R3/R6/R9 open,W,,
0,Buff,Blessed Light of Dawn,Let there be heals,"Body Buff
All your healing effects heal for 2 additional points that do not suffer from healing drain
You may spend 1L in place of any drain you suffer as part of casting a healing effect, this also mitigates all drain for recipients of this healing effect. 
you may take 3 on all healing rolls
Excess points of healing generate Reserve dice at a 1:1 ratio for the recipient of your healing effects that last for one minute or until used on any roll. If Reserve dice would be received while there are already existing dice, the new quantity overwrites if it is higher, otherwise it just refreshes the one minute timer. 
Resist 6 acid, resist 6 fire, resist 6 lightning.
Gain +6 dice to see through magical effects
Treat all light conditions as optimal for your vision.
You may trigger healing effects as an interrupt at (5)",100,"15W,(30)",20,,,,,20,,100,,,,,,,,,,,"24W,6",??,W,,
0,Buff,Bonemonger,"Successful attacks generate a temp hp shield, can detonate temp hp shield","Successful attacks generate 2 temp hp. You may detonate your temp hp, discharging the buff, as a full action to deal BOD+temp hp DV as an AoE attack (attacking with your weapon skill or spellcasting dicepool). This is a body buff.",40,"7W,7B,(18)",,,,,,,,40,,,,,,,,,,,,,,,
0,Buff,Brambleward,"Ward against targeted magical effects, discharge for a burst of strength",half action. Gain +3*RANK against targeted magical effects until the end of this round. You may discharge this effect to get +2 STR *RANK on one attempted action.,"10,20,30","4G,(9)
9G,(18)
13G,(27)",,,,,6,6,,10,30,60,,,,,,,,,"4G,5
9G,9
13G,14",R3/R6/R9 limited,G,,
0,Buff,Charge Weapon,Hold a spell in a weapon to be discharged upon striking,"You can cast spells into your weapon(s). The spells are discharged upon striking an opponent, one at a time, in the order they were cast in. 
-Spells that normally target dodge automatically hit with 0 net hits. In the case of AoE effects produced off this (RULING NEEDED)
-Spells that target mental or physical resolve as normal.

Casting a spell into a weapon is a half action. For every half action spent since the start of your last turn casting spells into your weapon(s) you may cast an additional spell as part of the half action. You may store up to (cast stat) spells at one time and you can only store spells of up to 1+(cast stat / 2) force.

If the weapon leaves your possession for a minute all charges dissipate. Stored charges dissipate an hour after the last charge was added.",20,"3U,3R,(12)",,6,,6,,6,,20,,,,,,,,,,,"4UR,5",R4 limited,UR,,
0,Buff,Conjure weapon / armor,"Summon personalized weapon / armor, functions while in your keeping but phases out for others","Binding weapons and/or armor is accomplished during one hour of downtime. 

You may summon any or all of the bound weapons/armor as if drawing (half), or dismiss them as if sheathing (half). When an item is dismissed it exists in a pocket dimension and access can be prevented by effects that limit extradimensional travel. Dismissed items count as attended. You may summon bound equipment back to you granted it has been at most one minute since you last made contact with it. If it is attended the attender must be willing. You are aware of the general direction your bound equipment is in if you become separated from it. 

You may bind one set of armor and (two one handed weapons or one two handed weapon) per rank.",5 per,"1W,(6)",4,,,,,4,,5,10,15,20,25,30,35,40,45,50,,"W,5",R2 W open,W,,
0,Buff,Crisp and Cauterize,"Dealing direct fire damage procs a heal
Healing procs a firebolt","Body Buff.
Whenever your attack or ability deals fire damage to a target you may heal an ally within 60ft for up to an equivalent amount of health.
Whenever you heal an ally you may generate a single target ranged firebolt as per Elemental Blast, at FORCE = (healing spell FORCE) - 2
This ability cannot trigger itself",40,"9W,9R,(24)",,,,,,,,40,,,,,,,,,,,,,,,
0,Buff,Displacer,"You occupy two adjacent squares, appearing to flicker between them. 

","Body Buff

Gain +3 on all defensive checks (not mental or physical resist)
You occupy two adjacent squares.
You may act from either position that you occupy.
You may pass through thin obstacles at the cost of 5ft of movement.
You can pay (5) init to solidify in one spot at any time, or a half action during your turn, stabilizing the effect until you spend a Extra action to resume it. ",20,"3U,4(U|G),(15)",,4,,,4,8,,20,,,,,,,,,,,"7UG,8",R5 limited,UG,,
0,Buff,Duty's Ward,Move to punish those who threaten your selected ally,This buff links you and one ally (within 60ft on activation) and lasts 24 hours or until one recipient opts to dismiss it as a full action. You are aware of when the linked ally is threatened or hurt. You can sense the rough direction the linked ally is in. Enemies taking actions that target the ally but not you provoke attacks of opportunity. Such a triggering action also grants 10ft of movement if that would allow you to move to threaten the triggering enemy. ,30,"9W,(12)",,,,,,,,30,,,,,,,,,,,,,,,
0,Buff,Earthward,Generates temp HP and 3 lightning resist,"Body Buff.
Every minute and when you activate this ability you generate 2 temporary hp up to half your maximum temp hp. You also gain 6 lightning res.
_________________
Temporary HP accrues at the start of each round instead of every minute. ","20,30","6G,(12)
12G,(24)
",,,,,,,,20,50,,,,,,,,,,,,,,
0,Buff,Elemental Body (Acid),"Acid: acid retal burst 
","Gain for the duration Resist Acid: 6*RANK Whenever you are struck by a corporeal attack that does at least 1 point of damage all adjacent creatures must soak (armor soak) acid damage equal to  (BOD + 4*RANK). You may channel the acid into an area attack centered on you (you are unaffected by this attack) with (BOD/2*5 ft radius). DV = (BOD+4* RANK)(resolve as a spellcast or attack as desired). Doing so ends the benefits of Elemental Body. This is a body buff. Activating this buff is a half action, channeling the acid is a full action.",15/25/35,"2(B|G),(9)
4(B|G),(18)
6(B|G),(27)",0,0,6,0,0,6,,15,40,75,,,,,,,,,"2BG,7
4BG,14
6BG,21",R3/R6/R9 (B/G) limited,"B,G",,
0,Buff,Elemental Body (Air),"Flight, increased movement speed, deflection, immunity to gases/inhaled poisons, wind blast discharge","You gain the ability to (glide, fly as per flight N, fly as per flight NN), your movement speed increases by 10*RANK, you gain +RANK dice vs. ranged attacks, immunity to gases and inhaled poisons, treat wind based vision penalties as RANK steps lower. As a full action you may discharge this buff to produce a (BOD/2)*5ft cone of rushing air, rolling weapon skill or spellcasting vs. all targets in the cone (eDV = BOD + 4*rank). Targets Resist with Physical Resist and soak with Physical soak. Targets are pushed (unsoaked eDV)/2 *5ft directly away from you.",15/25/35,"
2(W|U),(9)
4(W|U),(18)
6(W|U),(27)",,,,,,,,15,40,75,,,,,,,,,,,,,
0,Buff,Elemental Body (Cold),"Cold: chilling presence
","Gain for the duration
Resist Cold: 6*RANK
Creatures that start their turn adjacent lose RANK initiative as if suffering damage from a cold effect. Resistance to cold mitigates this at a 1:1 ratio.
You may channel the chill into an area attack centered on you (you are unaffected by this attack) with (BOD/2*5 ft radius). DV = (BOD+ 4*RANK)(resolve as a spellcast or attack as desired). Doing so ends the benefits of Elemental Body. This is a body buff. Activating this buff is a half action, channeling the cold is a full action.",15/25/35,"2U,(9) per
",0,6,0,0,0,6,,15,40,75,,,,,,,,,"2U,7
4U,14
6U,21",R3/R6/R9 open,U,,
0,Buff,Elemental Body (Dark),"Ebody dark, resist dark, (active)","Gain for the duration Resist Dark: 6*RANK Whenever you are struck by a corporeal attack that does at least 1 point of damage you produce an obscuring miasma in your square that lasts until the end of the round. You may channel the darkness into an obscuring miasma centered on you, radius = (BOD/2 -1), that lasts until the end of the next round. The miasma blocks all light for everyone except you. Doing so ends the benefits of Elemental Body. This is a body buff. Activating this buff is a half action, channeling the darkness is a full action.",15/25/35,"2(B),(9)
4(B),(18)
6(B),(27)",,,,,,,,,,,,,,,,,,,,,,,
0,Buff,Elemental Body (Earth),Earth: ,"Gain for the duration
Damage Dampening: 2
You may channel the strength of earth to mitigate one physical attack. Gaining an additional 4*RANK Damage Dampening. Doing so ends the benefits of Elemental Body after resolving the damage for that attack. This is a body buff. Activating this buff is a half action, channeling the earth is a nonaction.",15/25/35,"2G,(9) per",0,0,0,0,6,6,,15,40,75,,,,,,,,,"2G,7
4G,14
6G,21",R3/R6/R9 open?,G,,
0,Buff,Elemental Body (Fire),"Fire: Burning presence, fire burst
","Gain for the duration
Resist Fire: 6*RANK
Creatures that start their turn adjacent must save or catch fire as if affected by a (BOD+2*RANK) fire attack. At the end of each round adjacent objects save or catch fire.
You may channel the fire into an area attack centered on you (you are unaffected by this attack) with (BOD/2*5 ft radius). DV = (BOD+ 4*RANK)(resolve as a spellcast or attack as desired). Doing so ends the benefits of Elemental Body. This is a body buff. Activating this buff is a half action, channeling the fire is a full action.",15/25/35,"2R,(9) per",0,0,0,6,0,6,,15,40,75,,,,,,,,,"2R,7
4R,14
6R,21",R3/R6/R9 open,R,,
0,Buff,Elemental Body (Lightning),"Lightning: lightning presence, lightning leap
","Gain for the duration
Resist Lightning: 6*RANK
Creatures that are adjacent to you that take lightning damage take an additional point of lightning damage as if struck by a separate lightning effect. This ability cannot trigger itself.
You may channel the lightning into a line attack originating from you with up to (BOD*10 ft length). DV = (BOD+ 4*RANK)(resolve as a spellcast or attack as desired). You may teleport to the farthest square of the target area. Using the attack function ends the benefits of Elemental Body. This is a body buff. Activating this buff is a half action, channeling the lightning is a full action. ",15/25/35,"2R,(9) per",0,3,0,3,0,6,,15,40,75,,,,,,,,,"R,U,7
2R,2U,14
3R,3U,21",R3/R6/R9 open,"UR,RW",,
0,Buff,Elemental Body (Radiant),"Ebody radiant, resist radiant, (active)","Gain for the duration Resist Radiant: 6*RANK Whenever you are struck by a corporeal attack that does at least 1 point of damage all adjacent creatures must avoid automatic blinding (until end of round), dodge or physical res vs. (BOD/2+rank-2) automatic hits. You may channel the radiance into an area attack centered on you (you are unaffected by this attack) with ((BOD/2+1)*5 ft radius), resolve as an attack or spellcast as desired. This attack does no damage, may be dodged or physically resisted, and only requires 3 net hits to blind (blinding until end of next round). This a. Doing so ends the benefits of Elemental Body. This is a body buff. Activating this buff is a half action, channeling the acid is a full action.",15/25/35,"2(W),(9)
4(W),(18)
6(W),(27)",,,,,,,,,,,,,,,,,,,,,,,
0,Buff,Envenom Weapons,Poison weapons as weapon buff,"Damage adjusted by -4
Victim injured by weapon rolls to physical soak venom at end of round, DV = your BOD*2. 
As usual for poison effects subsequent applications of the poison during the same round raise the end of round DV by 2.",20,"
7(B|G),(9)",,,,,,,,20,,,,,,,,,,,,???,GB,,
0,Buff,Fleetfoot Blessing,"1 temp hp, movespeed bonus while this temp hp lasts","grant 2 temp HP, increase your movement speed by 10 for 10 rounds. half action.",5,"3W,3R,(12)
",4,,,4,,8,,5,,,,,,,,,,,,R4 limited,R,,
0,Buff,Imbue Weapon (Acid),"Half action to apply element to attended weapons, dismiss as Extra action.
Changes weapon damage type to element.
Damage adjusted by -1","half action to apply element to attended weapons, dismiss as Extra action.
Changes weapon damage type to element.
Damage adjusted by -2",10,"4(B|G),(9)",0,0,6,0,6,6,,10,,,,,,,,,,,,R3 Limited,GB,,
0,Buff,Imbue Weapon (Cold),"Half action to apply element to attended weapons, dismiss as Extra action.
Changes weapon damage type to element.
Damage adjusted by -1","half action to apply element to attended weapons, dismiss as Extra action.
Changes weapon damage type to element.
Damage adjusted by -2",10,"4U,(9)",0,6,0,0,0,6,,10,,,,,,,,,,,,R3 Limited,U,,
0,Buff,Imbue Weapon (Dark),"Half action to apply element to attended weapons, dismiss as Extra action.
Changes weapon damage type to element.
Damage adjusted by -1","half action to apply element to attended weapons, dismiss as Extra action.
Changes weapon damage type to element.
Damage adjusted by -2",10,"4B,(9)",0,0,0,6,0,6,,10,,,,,,,,,,,,,,,
0,Buff,Imbue Weapon (Fire),"Half action to apply element to attended weapons, dismiss as Extra action.
Changes weapon damage type to element.
Damage adjusted by -1","half action to apply element to attended weapons, dismiss as Extra action.
Changes weapon damage type to element.
Damage adjusted by -2",10,"4R,(9)",0,0,0,6,0,6,,10,,,,,,,,,,,,R3 Limited,R,,
0,Buff,Imbue Weapon (Lightning),"Half action to apply element to attended weapons, dismiss as Extra action.
Changes weapon damage type to element.
Damage adjusted by -1","half action to apply element to attended weapons, dismiss as Extra action.
Changes weapon damage type to element.
Damage adjusted by -2",10,"4R,(9)",0,3,0,3,0,6,,10,,,,,,,,,,,,R3 Limited,RW,,
0,Buff,Imbue Weapon (Radiant),"Half action to apply element to attended weapons, dismiss as Extra action.
Changes weapon damage type to element.
Damage adjusted by -1","half action to apply element to attended weapons, dismiss as Extra action.
Changes weapon damage type to element.
Damage adjusted by -2",10,"4W,(9)",0,0,0,6,0,6,,10,,,,,,,,,,,,,,,
0,Buff,Martial Spirit,"No aura, two stances, combine maneuvers","Body Buff
You may not have an aura active
You may have two stances active
You may combine two maneuvers as part of one action where both could apply. If they both have initiative costs, you only need to pay the higher one.",75,"9W,9R,(24)",7,,,7,,14,,75,,,,,,,,,,,,R7 exclusive,RW,,
0,Buff,Press your luck,"Spend (2?3?) points of luck, for the rest of the round all your dice explode","Nonaction. Spend 2 luck, For the rest of the round all your dice explode.",10,"9R,(18)
",0,0,0,12,0,12,,10,,,,,,,,,,,,R6 limited,R,,
0,Buff,Purging Bubble,"1 temp hp, 1 purge roll on apply","half action.  Target ally may immediately (re)roll against a temporary negative condition, adding this new roll to their previous roll (short term debuff, not a long lasting curse or similar). There is no penalty for failing this roll. Target gains 1 temp hp ",5,"7W,(9)
",6,,,,6,6,,5,,,,,,,,,,,,R3 Exclusive,WR,,
0,Buff,Shadow Partner,Create a fragile clone of yourself with half stats that mirrors your actions,"Extra action, spend 1 L. Create a shadowy clone of yourself in an adjacent square. It acts on your initiative count, has half your dicepool for any roll before modifiers. The clone cannot spend initiative on any actions, nor can it spend luck. The clone has its own health and cannot be healed, taking all damage as lethal. The clone does not suffer wound penalties. You can perceive everything your clone perceives. Outside of these limitations, your clone functions with your abilities. ",60,"8U,8B,8(U|B),(30)
",,10,10,,,20,,60,,,,,,,,,,,,R10 Exclusive,U,,
0,Buff,Shared fate,split damage with ally,"full Action. Touch range, targets ally and self. For the duration all damage suffered by either recipient of this buff is split equally (primary target takes higher value in case of odd valued damage). Split damage after all resistances and rolls are concluded.
",10,"4W,(6)
",2,0,0,0,2,4,,10,,,,,,,,,,,,R2 exclusive,W,,
0,Buff,Singe & Cauterize,Dealing direct fire damage triggers a targeted heal on an ally. Healing triggers a targeted fire bolt.,Body Buff. Dealing direct fire damage to an enemy triggers a targeted heal on an ally within (CHA*10 ft) for up to half the damage dealt. Healing an ally triggers a targeted firebolt (DV = 2x heal) attack (spellcasting) at an enemy in range.,30,"5W,5R,(21)",,,2,2,2,3,,30,,,,,,,,,,,,,,,
0,Buff,Smite,Your next successful attack is more damaging. ,"Extra action, triggering this ability costs 1 drain. Your next successful attack before the end of the round has +4 DV. ",10,"6(W|R|G),(12)",,,,,,,,10,,,,,,,,,,,,,,,
0,Buff,Soulward,"Spend X health, get 2X temp hp",half Action. Spend X health to gain 2X temp hp.,10,"6B,(12)",0,0,10,0,0,10,,10,,,,,,,,,,,,R4 limited,B,,
0,Buff,Spellforged Strikes,Gain martial prowess for a short time after casting spells,"Gain +1 dice to weapon attack rolls until the end of your second next turn (next turn after next turn), cumulative and refreshing, when you cast a spell. While you are benefiting from these extra dice you may make an additional attack with a wielded weapon as part of a melee attack, splitting your dicepool as normal.",40,"19(W|U|R),(24)",,,,,,,,40,,,,,,,,,,,,,,,
0,Buff,Swarmform,Shapeshift into a cohesive swarm of small creatures,"Gain +3 bonus (defense roll only) vs. single target attacks and effects
Take -5 penalty (defense and soak) vs. area attacks and effects
Damage taken from single target attacks cannot exceed 10
You may disperse/condense into a swarm as a half action.",30,"14G,(18)
",,,,,12,12,,30,,,,,,,,,,,,R6 Exclusive,G,,
0,Buff,The Quick and The Dead,"boost dodge, take more damage when hit",half Action. Gain RANK free hits on all dodge rolls. Your damage dampening is reduced by (2+4*RANK).,30/40/50,"14(U|B|R),(18)
",,,6,6,,6,,30,70,120,,,,,,,,,,R6 exclusive,BRU,,
0,Buff,Titan Armor,"Gain mitigation dice, slow down",half Action. Gain 2 Armor soak per RANK for RANK*10 rounds. Your max speed is reduced by 10. This is a body buff.,5 per,"4G,(6)
9G,(12)
14G,(18)
19G,(24)
24G,(30)",,,,,4,4,,5,10,15,20,25,,,,,,,,R2 -> exclusive,G,,
0,Flaw,Blindness,You are blind,Blind,-30,"WURBG,(0)",1,1,1,1,1,1,,-30,,,,,,,,,,,,,,,
0,Maneuver,All in,Burn initiative for a powerful strike,"Spend the rest of your initiative as part of an attack. Gain +1 free hit for every (10) spent in this way, rounding up.",5,"9R,(12)",0,0,0,10,0,10,,5,,,,,,,,,,,9.6,R4 Exclusive,R,,
0,Maneuver,Arcane Mark,Put a magic mark on something,"Place an invisible magical mark on an object after 1 minute of casting. The mark is not invisible to you, and up to (cast stat) others of your choice present upon casting. The mark may be viewed normally with Perceive Magic). ",5,"1(W|U),(6)",4,4,,,,4,,5,,,,,,,,,,,,R2 open,,,
0,Maneuver,Arcane Rush,"Make a charge, if you connect cast a single target spell",Make a charge attack. If the attack deals damage you may cast a single target spell on the charge victim or a single target spell on yourself.,40,"7R,7G,(18)",,,,,,,,40,,,,,,,,,,,,,,,
0,Maneuver,Assassinate,Combat bonus vs. unaware targets,"Enemies treat your initative as 10 higher for purposes of awareness during surprise rounds
. Attacks against unaware enemies gain one automatic hit.",15,"7B,(15)",0,0,8,0,0,8,,15,,,,,,,,,,,,R5 limited,"U,B",,
0,Maneuver,Assisted Escape,"Target an ally, they may move up to their movement speed.  After moving, apply temp hp.","Target ally may move up to their walking speed, after moving they gain 1 temp hp. half action.",5,"2W,(3)
",2,,,,,2,,5,,,,,,,,,,,,R1 exclusive,"W,U",,
0,Maneuver,Avalanche of Blades,Flurry of attacks until missing,"(10) Make a melee attack, if this attack doesn't miss make another attack at a -4 penalty to all rolls against the same target, repeat until missing.",25,"16(W|R),(21)",12,,,,,12,,25,,,,,,,,,,,,R7 exclusive,W/R,,
0,Maneuver,Balance the Scales,Equalize wounds with ally,"(Touch) Equalize wounds with one ally. If there are an odd number of physical and/or nonlethal wounds you choose who receives the odd numbered wound. 
",10,"9(W|G),(18)",6,0,0,0,6,12,,10,,,,,,,,,,,,R6 limited,WG,,
